,Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
5809,CENSUS,2021,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,RYE,"RYE, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
5815,CENSUS,2021,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,SORGHUM,"SORGHUM, GRAIN, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),172,57.0
5821,CENSUS,2021,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,SOYBEANS,"SOYBEANS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"12,347",24.4
5827,CENSUS,2021,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
5836,CENSUS,2021,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,SUNFLOWER,"SUNFLOWER, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"2,009",48.8
5842,CENSUS,2021,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,WHEAT,"WHEAT, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"13,689",45.7
5848,CENSUS,2021,YEAR,,STATE,NEBRASKA,31,,,,,,,0,,WHEAT,"WHEAT, WINTER, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"13,689",45.7
5854,CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,APPLES,"APPLES, FUJI, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
5863,CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,APPLES,"APPLES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
5872,CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,APPLES,"APPLES, OTHER VARIETIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
5881,CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,APPLES,"APPLES, RED DELICIOUS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
5890,CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,BARLEY,"BARLEY, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),920,96.4
5896,CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
5899,CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,FIELD CROP TOTALS,"FIELD CROP TOTALS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"15,048",32.2
5903,CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,"FIELD CROPS, OTHER","FIELD CROPS, OTHER, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),3,(H)
5909,CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,FRUIT TOTALS,"FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS & BERRIES), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
5915,CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,FRUIT TOTALS,"FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
5921,CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,"FRUIT, OTHER","FRUIT, OTHER, (EXCL CITRUS & BERRIES), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
5930,CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,HAY,"HAY, (EXCL ALFALFA), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,900",(H)
5936,CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,HAY,"HAY, ALFALFA, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"11,888",43.5
5942,CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,HAY,"HAY, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"13,788",35.9
5948,CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,PISTACHIOS,"PISTACHIOS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
5954,CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,TREE NUT TOTALS,"TREE NUT TOTALS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
5958,CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,TRITICALE,"TRITICALE, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
5964,CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,WHEAT,"WHEAT, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
5970,CENSUS,2021,YEAR,,STATE,NEVADA,32,,,,,,,0,,WHEAT,"WHEAT, WINTER, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
5976,CENSUS,2021,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,BERRY TOTALS,"BERRY TOTALS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),18,54.4
5982,CENSUS,2021,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),5,69.4
5991,CENSUS,2021,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, WILD, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6000,CENSUS,2021,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,FIELD CROP TOTALS,"FIELD CROP TOTALS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"2,382",43.8
6004,CENSUS,2021,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,FRUIT TOTALS,"FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS & BERRIES), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,79.4
6010,CENSUS,2021,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,FRUIT TOTALS,"FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),20,44.7
6016,CENSUS,2021,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,GRAPES,"GRAPES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),1,74.2
6034,CENSUS,2021,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,HAY,"HAY, (EXCL ALFALFA), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),791,64.8
6040,CENSUS,2021,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,HAY,"HAY, ALFALFA, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),118,(H)
6046,CENSUS,2021,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,HAY,"HAY, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),909,64.9
6052,CENSUS,2021,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,HAYLAGE,"HAYLAGE, (EXCL ALFALFA), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,123",67.6
6058,CENSUS,2021,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,HAYLAGE,"HAYLAGE, ALFALFA, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),350,85.7
6064,CENSUS,2021,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,HAYLAGE,"HAYLAGE, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,473",49.4
6074,CENSUS,2021,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,PEACHES,"PEACHES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),1,66.9
6083,CENSUS,2021,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,PEARS,"PEARS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),1,(H)
6092,CENSUS,2021,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,RASPBERRIES,"RASPBERRIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6101,CENSUS,2021,YEAR,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),6,(H)
6110,CENSUS,2021,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,"BERRIES, OTHER","BERRIES, OTHER, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6119,CENSUS,2021,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,BERRY TOTALS,"BERRY TOTALS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),274,59.3
6127,CENSUS,2021,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),6,(H)
6136,CENSUS,2021,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,BLUEBERRIES,"BLUEBERRIES, TAME, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),262,60.0
6148,CENSUS,2021,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6154,CENSUS,2021,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,FIELD CROP TOTALS,"FIELD CROP TOTALS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),844,(H)
6158,CENSUS,2021,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,FIGS,"FIGS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6167,CENSUS,2021,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,FRUIT TOTALS,"FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS & BERRIES), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (Z),83.3
6173,CENSUS,2021,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,FRUIT TOTALS,"FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),275,59.2
6181,CENSUS,2021,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,HAY,"HAY, (EXCL ALFALFA), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),628,(H)
6187,CENSUS,2021,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,HAY,"HAY, ALFALFA, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),26,(H)
6193,CENSUS,2021,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,HAY,"HAY, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),654,(H)
6199,CENSUS,2021,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,HAYLAGE,"HAYLAGE, (EXCL ALFALFA), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6205,CENSUS,2021,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,HAYLAGE,"HAYLAGE, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6211,CENSUS,2021,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,PEACHES,"PEACHES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6220,CENSUS,2021,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,RASPBERRIES,"RASPBERRIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,63.9
6229,CENSUS,2021,YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,STRAWBERRIES,"STRAWBERRIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6238,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,APPLES,"APPLES, FUJI, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),4,93.9
6247,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,APPLES,"APPLES, GALA, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),4,93.4
6256,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,APPLES,"APPLES, GOLDEN DELICIOUS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),42,93.1
6268,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,APPLES,"APPLES, GRANNY SMITH, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6277,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,APPLES,"APPLES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),93,92.7
6289,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,APPLES,"APPLES, OTHER VARIETIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6301,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,APPLES,"APPLES, RED DELICIOUS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),41,96.9
6313,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,APPLES,"APPLES, ROME, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6322,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,APRICOTS,"APRICOTS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6331,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,BARLEY,"BARLEY, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6337,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,BERRY TOTALS,"BERRY TOTALS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),7,96.6
6343,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6352,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,BUCKWHEAT,"BUCKWHEAT, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6358,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,CHERRIES,"CHERRIES, SWEET, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),11,97.0
6367,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,CHERRIES,"CHERRIES, TART, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6373,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,CORN,"CORN, GRAIN, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"2,307",50.6
6379,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,CORN,"CORN, SILAGE, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,291",(H)
6385,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,COTTON,"COTTON, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6391,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,FIELD CROP TOTALS,"FIELD CROP TOTALS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"20,963",32.1
6395,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,"FIELD CROPS, OTHER","FIELD CROPS, OTHER, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),310,96.0
6401,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,FRUIT TOTALS,"FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS & BERRIES), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),93,94.0
6407,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,FRUIT TOTALS,"FRUIT TOTALS, (EXCL APPLES & GRAPES & CITRUS), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),100,87.3
6413,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,"FRUIT, OTHER","FRUIT, OTHER, (EXCL CITRUS & BERRIES), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6422,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,GRAPES,"GRAPES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),11,94.7
6446,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,HAY,"HAY, (EXCL ALFALFA), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"6,955",66.4
6452,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,HAY,"HAY, ALFALFA, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"3,293",78.5
6458,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,HAY,"HAY, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"10,248",47.2
6464,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,HAYLAGE,"HAYLAGE, ALFALFA, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),50,95.8
6470,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,HAYLAGE,"HAYLAGE, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),50,95.8
6476,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,HERBS,"HERBS, DRY, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6482,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,OATS,"OATS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6488,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,PEACHES,"PEACHES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),44,99.3
6497,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,PEANUTS,"PEANUTS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6503,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,PEARS,"PEARS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),12,80.3
6512,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,PECANS,"PECANS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),146,54.8
6518,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,PLUMS,"PLUMS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),21,99.3
6527,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,RASPBERRIES,"RASPBERRIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6536,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,RYE,"RYE, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6542,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,SORGHUM,"SORGHUM, GRAIN, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6548,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,TREE NUT TOTALS,"TREE NUT TOTALS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),146,54.8
6552,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,WHEAT,"WHEAT, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"3,113",94.4
6558,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,WHEAT,"WHEAT, SPRING, (EXCL DURUM), ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,250",(H)
6564,CENSUS,2021,YEAR,,STATE,NEW MEXICO,35,,,,,,,0,,WHEAT,"WHEAT, WINTER, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"1,863",(H)
6570,CENSUS,2021,YEAR,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, BRAEBURN, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (D),(D)
6579,CENSUS,2021,YEAR,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, CAMEO, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),1,74.8
6591,CENSUS,2021,YEAR,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, FUJI, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),2,69.2
6603,CENSUS,2021,YEAR,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, GALA, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),1,67.8
6615,CENSUS,2021,YEAR,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, GOLDEN DELICIOUS, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED), (Z),(H)
6624,CENSUS,2021,YEAR,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, HONEYCRISP, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),3,93.1
6633,CENSUS,2021,YEAR,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),152,57.9
6645,CENSUS,2021,YEAR,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, OTHER VARIETIES, ORGANIC - ACRES HARVESTED",ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),98,47.9
